Name,Blood Group,Phone,BloodBank Name,Longitude,Latitude
DEBANJAN,O+,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
SOUMI,A+,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
TANUSHKA,B+,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
PRIYASHA,AB+,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
NIRAV,O-,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
NANDINI,A-,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
MADHAV,B-,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
LEELA,AB-,1234567890,SSKM HOSPITAL BLOOD BANK,88.3437482,22.5402242
KUNAL,O+,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
ISHITA,A+,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
HEMA,B+,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
GUNJAN,AB+,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
DEVI,O-,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
DEEPAK,A-,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
CHITRA,B-,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
AYUSHA,AB-,1234567890,PEOPLE'S BLOODBANK,88.3462425,22.5257451
ASHISH,O+,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
APARNA,A+,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
ANKIT,B+,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
ANANYA,AB+,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
AMEYA,O-,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
AKRITI,A-,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
AISHA,B-,1234567890,BHORUKA BLOOD BANK,88.3571161,22.5550749
